arxiv_id,date,title_short,decision,who_maintains_belief,credited_object,revision_signal,belief_level_metrics,survey_section,role_in_survey,note,bibkey,first_author,title,venue,evidence
2504.20073,2025-04-24,RAGEN / StarPO,include,context (free-form trace),step/trajectory,environment reward; reasoning-aware reward (Echo Trap diagnosis),no,5;8,multi-turn RL learning signals; shows belief/reasoning does not emerge from outcome reward alone,StarPO trajectory-level multi-turn RL with RAGEN system; identifies Echo Trap (reward-variance collapse) fixed by trajectory filtering and gradient stabilisation; finds reasoning hardly emerges without fine-grained reasoning-aware rewards.,wang2025ragen,Zihan Wang,RAGEN: Understanding Self-Evolution in LLM Agents via Multi-Turn Reinforcement Learning,arXiv,A
2505.10978,2025-05-16,GiGPO,include,n/a,step/trajectory,episode-level group reward plus step-level anchor-state grouping,no,5,critic-free step-level credit assignment via repeated environment states,Two-level group advantage: trajectory groups for episode credit and anchor-state groups (repeated env states) for step credit; >12% over GRPO on ALFWorld and >9% on WebShop with Qwen models.,feng2025group,Lang Feng,Group-in-Group Policy Optimization for LLM Agent Training,NeurIPS 2025,P
2502.01600,2025-02-03,LOOP,include,context (free-form trace),step/trajectory,environment feedback via API observations in POMDP,no,5;6,POMDP formalisation of API agents; RL induces documentation-consulting and assumption-avoiding behaviours,"Formalises interactive digital agents as POMDP and trains with LOOP, a memory-efficient PPO variant; 32B agent beats OpenAI o1 by 9 pp on AppWorld; agents learn to consult docs, avoid assumptions, recover from errors.",chen2025reinforcement,Kevin Chen,Reinforcement Learning for Long-Horizon Interactive LLM Agents,arXiv,A
2503.09516,2025-03-12,Search-R1,include,context (free-form trace),output,retrieved documents interleaved with reasoning; outcome reward,no,5;6,RL-learned evidence acquisition (search queries) with retrieved-token masking,Extends RL to interleave autonomous search-query generation with step-by-step reasoning; retrieved-token masking for stability and outcome reward; 41% (Qwen2.5-7B) and 20% (3B) gains over RAG baselines on seven QA datasets.,jin2025searchr1,Bowen Jin,Search-R1: Training LLMs to Reason and Leverage Search Engines with Reinforcement Learning,arXiv,A
2503.19470,2025-03-25,ReSearch,include,context (free-form trace),output,search results inserted into reasoning chain; outcome reward,no,5;6,search as part of reasoning chain learned by RL without supervised reasoning steps,Treats search operations as components of the reasoning chain and trains via RL with no supervised reasoning data on Qwen2.5-7B/32B; reflection and self-correction emerge during training.,chen2025research,Mingyang Chen,ReSearch: Learning to Reason with Search for LLMs via Reinforcement Learning,NeurIPS 2025,P
2506.15841,2025-06-18,MEM1,include,model-written,belief state,internal state rewritten each turn consolidating new observations and pruning irrelevant content,partial (memory usage / context size vs accuracy),3;4;5,RL-learned constant-size internal state as compressed belief,RL trains agent to overwrite a shared internal state that serves both memory consolidation and reasoning; MEM1-7B improves performance 3.5x while cutting memory 3.7x vs Qwen2.5-14B-Instruct on 16-objective multi-hop task.,zhou2025mem1,Zijian Zhou,MEM1: Learning to Synergize Memory and Reasoning for Efficient Long-Horizon Agents,arXiv,A
2507.02259,2025-07-03,MemAgent,include,model-written,belief state,chunk-wise overwrite of fixed-size memory as document is streamed,partial (accuracy vs context length),3;4;5,RL-trained overwrite memory over streamed evidence (multi-conv DAPO),Reads text in chunks and updates a fixed memory via overwrite; multi-conv extension of DAPO trains the update policy; trained at 32K it extrapolates to 3.5M tokens with <5% loss and >95% on 512K RULER.,yu2025memagent,Hongli Yu,MemAgent: Reshaping Long-Context LLM with Multi-Conv RL-based Memory Agent,ICLR 2026,P
2504.19413,2025-04-28,Mem0,include,external memory,n/a,"LLM-driven extraction, consolidation and update of memory entries per conversation turn",no,3;4,production external memory with add/update/delete consolidation; graph variant,Extracts salient facts from conversation and consolidates them into a memory store (plus graph variant); 26% relative LLM-judge gain over OpenAI memory on LOCOMO with 91% lower p95 latency and >90% token savings.,chhikara2025mem0,Prateek Chhikara,Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory,arXiv,A
2508.16153,2025-08-22,Memento,include,external memory,action/turn,environment feedback rewrites episodic case memory; learned case-selection policy,no,3;4;5,memory-based online RL (M-MDP) as gradient-free belief revision,"Memory-augmented MDP with neural case-selection policy; adaptation occurs by rewriting episodic case bank from environment feedback rather than updating LLM weights; 87.88% Pass@3 GAIA validation, 66.6% F1 on DeepResearcher.",zhou2025memento,Huichi Zhou,Memento: Fine-tuning LLM Agents without Fine-tuning LLMs,arXiv,A
2406.12045,2024-06-17,tau-bench,include,evaluator-side oracle,n/a,simulated-user utterances and API tool results across dialogue,partial (pass^k consistency; database-state check),7,evaluation via end-state database comparison and pass^k reliability,"Benchmark with LM-simulated users, domain APIs and policy rules; success judged by final database state and pass^k over repeated trials; GPT-4o solves <50% of tasks and pass^8 falls below 25% in retail.",yao2024taubench,Shunyu Yao,tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,arXiv,A
2506.07982,2025-06-09,tau2-bench,include,evaluator-side oracle,n/a,user actions on shared environment observed only through dialogue (Dec-POMDP),partial (separates reasoning vs communication errors),7;8,dual-control Dec-POMDP evaluation where agent must infer and steer user-side state,Telecom domain modelled as Dec-POMDP with both agent and simulated user modifying environment; compositional task generator; performance drops when moving from no-user to dual-control setting.,barres2025tau2bench,Victor Barres,tau2-Bench: Evaluating Conversational Agents in a Dual-Control Environment,arXiv,A
2412.14161,2024-12-18,TheAgentCompany,exclude(no belief or memory mechanism; general long-horizon benchmark),n/a,n/a,n/a,no,7,peripheral: long-horizon work-task benchmark cited for context only,"Simulated software company where agents browse, code and message colleagues; best agent completes 30% of tasks autonomously.",xu2024theagentcompany,Frank F. Xu,TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks,arXiv,A
2506.07976,2025-06-09,TTI (Thinking vs Doing),include,context (free-form trace),step/trajectory,additional environment observations from longer interaction horizons,no,5;6,test-time interaction scaling as information-gathering axis,Curriculum RL that adaptively lengthens rollouts so agents gather more environment evidence instead of only thinking longer; Gemma 3 12B achieves open-source SOTA on web navigation benchmarks.,shen2025thinking,Junhong Shen,Thinking vs. Doing: Agents that Reason by Scaling Test-Time Interaction,arXiv,A
2503.15478,2025-03-19,SWEET-RL,include,n/a,action/turn,step-level critic reward using training-time privileged information,no,5;7,turn-level credit assignment via asymmetric-information critic; ColBench,"Critic trained with extra training-time information provides step-level rewards for multi-turn collaboration; 6% absolute improvement in success/win rate, Llama-3.1-8B matching GPT-4o on ColBench.",zhou2025sweetrl,Yifei Zhou,SWEET-RL: Training Multi-Turn LLM Agents on Collaborative Reasoning Tasks,arXiv,A
2411.02337,2024-11-04,WebRL,include,n/a,output,outcome-supervised reward model; self-generated curriculum from failures,no,5,self-evolving curriculum RL with learned outcome reward for web agents,"Addresses task scarcity, sparse feedback and policy drift with self-generated curriculum, ORM and adaptive RL; Llama-3.1-8B 4.8% to 42.4% and GLM-4-9B 6.1% to 43% on WebArena-Lite.",qi2024webrl,Zehan Qi,WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,ICLR 2025,P
2507.19849,2025-07-26,ARPO,include,context (free-form trace),step/trajectory,token entropy spike after tool feedback triggers branched sampling,partial (post-tool-call entropy as uncertainty proxy),5;6,entropy-adaptive rollout: uncertainty after evidence arrival drives exploration and step-level credit,Observes entropy rises right after tool calls; entropy-adaptive rollout mixes trajectory- and step-level sampling and uses advantage attribution; outperforms trajectory-level RL on 13 benchmarks with about half the tool-call budget.,dong2025agentic,Guanting Dong,Agentic Reinforced Policy Optimization,arXiv,A
2402.12621,2024-02-20,Reflect-RL,include,model-written,action/turn,frozen reflection model produces natural-language reflection on history each step,no,4;5,two-player reflection-then-act online RL,"Frozen reflection LM writes a reflection that conditions a policy LM trained with SFT then online RL, with negative-example generation and curriculum; GPT-2 XL 1.56B trained this way beats Mistral 7B.",zhou2024reflectrl,Runlong Zhou,Reflect-RL: Two-Player Online RL Fine-Tuning for LMs,ACL 2024,P
2501.01702,2025-01-03,AgentRefine,include,context (free-form trace),step/trajectory,environment observation triggers correction of erroneous action,no,4;5,refinement tuning: learn to revise actions from observation,Synthesises trajectories where a strong LLM corrects wrong actions after environment feedback and fine-tunes on them; improves held-out generalisation and perturbation robustness and links generalisation to self-refinement.,fu2025agentrefine,Dayuan Fu,AgentRefine: Enhancing Agent Generalization through Refinement Tuning,ICLR 2025,P
2509.02547,2025-09-02,Agentic RL survey,include,n/a,n/a,n/a,no,1;8,neighbouring survey; POMDP framing of agentic RL and memory-as-capability taxonomy,"Survey of 500+ papers framing agentic RL as temporally extended POMDPs with taxonomy over planning, tool use, memory, reasoning, self-improvement, perception; useful for positioning this survey.",zhang2025landscape,Guibin Zhang,The Landscape of Agentic Reinforcement Learning for LLMs: A Survey,TMLR,P
2412.20138,2024-12-28,TradingAgents,include,context (free-form trace),output,multi-agent debate (bull vs bear researchers) and risk-team review,no,2;8,finance application: role-based multi-agent belief formation through debate,"Trading firm simulated by analyst, researcher, trader and risk-management LLM agents that debate and synthesise views; reports gains in cumulative return, Sharpe ratio and max drawdown over baselines (no specific numbers in abstract).",xiao2024tradingagents,Yijia Xiao,TradingAgents: Multi-Agents LLM Financial Trading Framework,arXiv,A
