arxiv_id,date,title_short,decision,who_maintains_belief,credited_object,revision_signal,belief_level_metrics,survey_section,role_in_survey,note,bibkey,first_author,title,venue,evidence
2304.05128,2023-04-11,Self-Debug,include,context (free-form trace),output,execution feedback + self-generated code explanation (rubber-duck),no,4;5,exemplar of revision-by-explanation with execution signal; no explicit belief state,"Few-shot self-debugging: model explains its code and uses unit-test/execution feedback to revise; +2-3% Spider, up to +12% TransCoder/MBPP, matches baselines generating 10x more candidates.",chen2023teaching,Chen,Teaching Large Language Models to Self-Debug,ICLR 2024,P
2310.05915,2023-10-09,FireAct,include,context (free-form trace),step/trajectory,supervised fine-tuning on GPT-4 ReAct/CoT/Reflexion trajectories,no,5,learning-signal baseline: trajectory-level SFT for agents; belief is implicit in the trace,Fine-tunes Llama2-7B on 500 GPT-4 agent trajectories mixing prompting methods; reports 77% HotpotQA improvement and gains in robustness/generalization.,chen2023fireact,Chen,FireAct: Toward Language Agent Fine-tuning,arXiv,A
2310.12823,2023-10-19,AgentTuning,include,context (free-form trace),step/trajectory,hybrid instruction tuning on AgentInstruct interaction trajectories,no,5,learning-signal baseline: trajectory SFT without belief supervision,AgentInstruct dataset + hybrid instruction tuning yields AgentLM (7B/13B/70B); AgentLM-70B reported comparable to GPT-3.5-turbo on unseen agent tasks.,zeng2023agenttuning,Zeng,AgentTuning: Enabling Generalized Agent Abilities for LLMs,ACL 2024 Findings,P
2210.11610,2022-10-20,LLMs Can Self-Improve,include,n/a,output,self-consistency majority vote as pseudo-label for self-training,partial (self-consistency agreement as confidence filter),5,self-generated learning signal; confidence-filtered pseudo-labels prefigure belief-weighted self-training,"Uses CoT + self-consistency to select high-confidence rationales and fine-tunes 540B PaLM on them without labels; GSM8K 74.4->82.1, DROP 78.2->83.0, OpenBookQA 90.0->94.4, ANLI-A3 63.4->67.9.",huang2022large,Huang,Large Language Models Can Self-Improve,EMNLP 2023,P
2201.11903,2022-01-28,Chain-of-Thought,include,context (free-form trace),output,none (single forward pass; intermediate steps only),no,2;3,background: free-form reasoning trace as the default implicit state representation,"Few-shot exemplars with intermediate reasoning steps elicit multi-step reasoning in 540B PaLM; SOTA on GSM8K with 8 exemplars, surpassing finetuned GPT-3 with verifier.",wei2022chain,Wei,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,NeurIPS 2022,P
2203.11171,2022-03-21,Self-Consistency,include,n/a,output,marginalisation over sampled reasoning paths (majority vote),partial (answer agreement rate as implicit confidence),2;3;7,background: sampling-based marginal over reasoning paths as a proto-belief over answers,"Samples diverse CoT paths and takes the most consistent answer; +17.9% GSM8K, +11.0% SVAMP, +12.2% AQuA, +6.4% StrategyQA, +3.9% ARC-c.",wang2022self,Wang,Self-Consistency Improves Chain of Thought Reasoning in Language Models,ICLR 2023,P
2205.14334,2022-05-28,Verbalized Uncertainty,include,model-written,output,fine-tuning on calibrated verbal confidence targets,yes (calibration of verbalized probabilities; MSE/MAD; CalibratedMath under distribution shift),3;7,representation: belief expressed in words; calibration metrics for stated confidence,GPT-3 fine-tuned to emit verbal confidence (e.g. '90%') that is well calibrated on CalibratedMath and moderately robust under distribution shift; compares verbalized vs logit-based uncertainty.,lin2022teaching,Lin,Teaching Models to Express Their Uncertainty in Words,TMLR 2022,P
2207.05221,2022-07-11,LMs (Mostly) Know,include,model-written,output,self-evaluation P(True) and P(IK) of own proposals,yes (calibration of P(True) and P(IK); ECE-style calibration curves; Brier),3;7,representation + evaluation: self-assessed correctness probabilities as first-order belief,"Large models are well calibrated on MC/TF formats; P(True) self-evaluation of sampled answers and trained P(IK) heads predict correctness, improving with multiple samples and provided sources; calibration on new tasks remains hard.",kadavath2022language,Kadavath,Language Models (Mostly) Know What They Know,arXiv,A
2302.09664,2023-02-19,Semantic Entropy,include,n/a,output,entropy over meaning-clustered samples,yes (semantic entropy; AUROC for correctness prediction),3;7,evaluation: sampling-based uncertainty invariant to paraphrase; used as belief-level metric,"Clusters sampled generations by bidirectional entailment and computes entropy over semantic classes; improves AUROC for predicting QA correctness vs. baselines, no model changes required.",kuhn2023semantic,Kuhn,Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation in Natural Language Generation,ICLR 2023,P
2301.04104,2023-01-10,DreamerV3,include,learned world model,belief state,RSSM latent posterior updated from observations; imagination rollouts,partial (world-model prediction losses; no calibration metrics),2;3;8,contrast case: non-LLM learned latent belief state via world model; anchors the 'belief as latent' formulation,Universal model-based RL with a learned latent world model and imagined actor-critic training; single configuration across 150+ tasks; first to collect Minecraft diamonds from pixels without human data.,hafner2023mastering,Hafner,Mastering Diverse Domains through World Models,Nature 2025,P
