arxiv_id,date,title_short,decision,who_maintains_belief,credited_object,revision_signal,belief_level_metrics,survey_section,role_in_survey,note,bibkey,first_author,title,venue,evidence
2608.06663,2026-08-07,The Horizon Gap (survey),include,n/a,n/a,n/a,no,1;9,competing survey,1547 papers; 6 lifecycle categories (planning/memory/execution/training/evaluation/safety) x horizon axis; no belief-state category; notes outcome-only signals grow uninformative with horizon,chen2026horizon,,The Horizon Gap (survey),arXiv,A
2604.09459,2026-04-10,Credit Assignment in RL for LLMs (survey),include,n/a,step/trajectory,n/a,no,1;5,competing survey,69 papers Jan 2024-Jul 2026; six-diagnostic framework; granularity-by-methodology taxonomy; no belief-level credit,zhang2026reasoning,,Credit Assignment in RL for LLMs (survey),arXiv,A
2605.06716,2026-05-07,From Storage to Experience (memory survey),include,external store,n/a,reflection,no,1;3,competing survey,Storage->Reflection->Experience; trajectories not beliefs; no staleness/uncertainty,luo2026storage,,From Storage to Experience (memory survey),arXiv,A
2608.23058,2026-08-24,LLM Agents for Forecasting (survey),include,n/a,n/a,n/a,partial (calibration under shift),1;7,competing survey,3 architecture groups; finance covered; no belief updating axis,xu2026llm,,LLM Agents for Forecasting (survey),arXiv,A
2609.07395,2026-09-07,UQ for LLM Agents taxonomy,include,n/a,n/a,n/a,yes (TC-ECE),4;7,evaluation,3-axis uncertainty taxonomy (what/how/where); step-level calibration != trajectory-level,lin2026uncertainty,,UQ for LLM Agents taxonomy,arXiv,A
2609.10036,2026-09-09,Belief-State Engine,include,external Bayesian filter,none (prompting),Bayesian posterior,yes (belief calibration; decision consistency),3,representation: external module,4-axiom spec of belief-consistent state; LLM sees only posterior; Tiger POMDP + attack graph,chattopadhayay2026belief,,Belief-State Engine,arXiv,A
2606.15473,2026-06-13,Belief at Risk,include,external Bayesian filter (LLM as observation model),none,Bayesian posterior over regimes,yes (posterior entropy; belief drift; calibration),3;7,representation: external module; finance,LLM maps evidence to prob vector over latent regimes; VaR/CVaR under beliefs; daily equity returns,dixon2026belief,,Belief at Risk,arXiv,A
2606.17383,2026-06-16,POMDP validation framework,include,external Bayesian filter,none,Bayesian,yes (calibration diagnostics; coverage; ablation of latent-state inference),7,evaluation; finance,decomposes info/beliefs/forecasts/actions/utility; portfolio mgmt case study; 6 risk categories,dixon2026model,,POMDP validation framework,arXiv,A
2604.18576,2026-04-20,Bayesian Linguistic Forecaster,include,model-written (numeric prob + text evidence summary),none,sequential update in tool loop,yes (Brier/calibration),3;6,representation: model-written; evidence acquisition,SOTA on ForecastBench; Platt scaling; logit averaging,murphy2026agentic,,Bayesian Linguistic Forecaster,arXiv,A
2605.11436,2026-05-12,Agent-BRACE,include,model-written (atomic claims + ordinal certainty),belief + policy jointly (RL),verbalized certainty,yes (belief calibration over episode),3;4;5,closest method neighbour to BSPO,decouples belief model from policy; +14.5 pts Qwen2.5-3B; near-constant context,singh2026agent,,Agent-BRACE,arXiv,A
