arxiv_id,date,title_short,decision,who_maintains_belief,credited_object,revision_signal,belief_level_metrics,survey_section,role_in_survey,note,bibkey
2608.06663,2026-08-07,The Horizon Gap (survey),include,n/a,n/a,n/a,no,1;9,competing survey,1547 papers; 6 lifecycle categories (planning/memory/execution/training/evaluation/safety) x horizon axis; no belief-state category; notes outcome-only signals grow uninformative with horizon,chen2026horizon
2604.09459,2026-04-10,Credit Assignment in RL for LLMs (survey),include,n/a,step/trajectory,n/a,no,1;5,competing survey,69 papers Jan 2024-Jul 2026; six-diagnostic framework; granularity-by-methodology taxonomy; no belief-level credit,zhang2026reasoning
2605.06716,2026-05-07,From Storage to Experience (memory survey),include,external store,n/a,reflection,no,1;3,competing survey,Storage->Reflection->Experience; trajectories not beliefs; no staleness/uncertainty,luo2026storage
2608.23058,2026-08-24,LLM Agents for Forecasting (survey),include,n/a,n/a,n/a,partial (calibration under shift),1;7,competing survey,3 architecture groups; finance covered; no belief updating axis,xu2026llm
2609.07395,2026-09-07,UQ for LLM Agents taxonomy,include,n/a,n/a,n/a,yes (TC-ECE),4;7,evaluation,3-axis uncertainty taxonomy (what/how/where); step-level calibration != trajectory-level,lin2026uncertainty
2609.10036,2026-09-09,Belief-State Engine,include,external Bayesian filter,none (prompting),Bayesian posterior,yes (belief calibration; decision consistency),3,representation: external module,4-axiom spec of belief-consistent state; LLM sees only posterior; Tiger POMDP + attack graph,chattopadhayay2026belief
2606.15473,2026-06-13,Belief at Risk,include,external Bayesian filter (LLM as observation model),none,Bayesian posterior over regimes,yes (posterior entropy; belief drift; calibration),3;7,representation: external module; finance,LLM maps evidence to prob vector over latent regimes; VaR/CVaR under beliefs; daily equity returns,dixon2026belief
2606.17383,2026-06-16,POMDP validation framework,include,external Bayesian filter,none,Bayesian,yes (calibration diagnostics; coverage; ablation of latent-state inference),7,evaluation; finance,decomposes info/beliefs/forecasts/actions/utility; portfolio mgmt case study; 6 risk categories,dixon2026model
2604.18576,2026-04-20,Bayesian Linguistic Forecaster,include,model-written (numeric prob + text evidence summary),none,sequential update in tool loop,yes (Brier/calibration),3;6,representation: model-written; evidence acquisition,SOTA on ForecastBench; Platt scaling; logit averaging,murphy2026agentic
2605.11436,2026-05-12,Agent-BRACE,include,model-written (atomic claims + ordinal certainty),belief + policy jointly (RL),verbalized certainty,yes (belief calibration over episode),3;4;5,closest method neighbour to BSPO,decouples belief model from policy; +14.5 pts Qwen2.5-3B; near-constant context,singh2026agent
2605.30219,2026-05-28,Contextual Belief Management (BeliefTrack),include,model-written predicted belief state,belief-state reward (RL),symbolic verification,yes (turn-level exact; failed stay/update/isolation),4;5;7,revision taxonomy + state-level training,3 failure modes; RL with belief-state rewards -71% failures; steering -46%,xu2026should
2605.05583,2026-05-07,Belief Memory (BeliefMem),include,external store with probabilities,none,Noisy-OR update,partial,3;4,representation: probabilistic memory,multiple candidate conclusions with probs; LoCoMo + ALFWorld,liao2026belief
2609.00455,2026-08-31,Belief-Based World Model,include,learned WM exposes belief to LLM,none (policy prompted),world-model belief,partial,3,representation: world-model belief,belief queryable by LLM; complementary to simulation WMs,kumar2026towards
2606.09032,2026-06-08,Text World Models (review),include,learned/prompted transition model,n/a,n/a,no,3,representation: world models,LLM-as-WM vs code-as-WM; experience synthesis/planning/verification,li2026bridging
2605.04507,2026-05-06,BOND (distilling Bayesian beliefs),include,model-written posterior tags,belief distillation (SFT from Bayesian teacher),teacher posterior,yes (Brier on posteriors),5,state-level training via distillation,8B student Brier 0.114 beats 70B baseline; CaSiNo negotiation,cui2026distilling
2607.13618,2026-07-15,STOCKTAKE,include,evaluator-side exact Bayes filter oracle,n/a,n/a,yes (symptom detection lag; skill score; knowing-doing rate),4;7;8,belief-action gap benchmark,84-88% detection yet skill 0.62 to -0.23; 34-43% diagnosed weeks still stock out; same pattern as BSPO calibration gap,deb2026stocktake
2605.06527,2026-05-07,STALE,include,external memory,n/a,implicit conflict,yes (state resolution; premise resistance; implicit policy adaptation),4;7,staleness benchmark,best model 55.2%; retrieval != acting on update,chao2026stale
2603.23848,2026-03-25,BeliefShift,include,n/a (user beliefs),n/a,evidence-driven revision,yes (BRA; DCS; CRR; ESI),4;7,revision benchmark (user-belief drift),personalisation vs factual grounding trade-off,myakala2026beliefshift
2607.12893,2026-07-14,MemOps,include,external memory,n/a,lifecycle ops (remember/forget/update/reflect),yes (operation-level probes),4;7,revision ops benchmark,final-answer accuracy masks op-level failures,hao2026memops
2606.06240,2026-06-04,TOKI,include,external memory,n/a,bitemporal operators (4 heuristics),partial,4,contradiction resolution,last-writer-wins / evidence-weighted / await-confirm / per-rule; audit rows,wang2026toki
2603.14597,2026-03-15,D-MEM,include,external memory,n/a,reward prediction error gating,partial,4,surprise-gated memory write,surprise+utility -> RPE routes fast/slow path; LoCoMo-Noise,song2026d
2606.05885,2026-06-04,ECPO,include,n/a,step (anchor-state advantages),n/a,no,5,trajectory/step-level credit,evidence here = rollout count shrinkage not environment evidence; +5-7 pts over GiGPO,li2026denser
2609.01245,2026-09-01,Explore More Drift Less,include,n/a,outcome only,n/a,no,5,counter-evidence,argues outcome-only RL can suffice for long-horizon agents,pu2026explore
2606.08348,2026-06-06,Bayesian-Agent,include,external posterior over skills,none,verified trajectories,partial,6,belief over tools/skills (routing),posterior over skill reliability; RealFin-Bench 45->65,wu2026bayesian
2605.07042,2026-05-07,Context Gathering Decision Process,include,POMDP over search state,n/a,n/a,partial,6,evidence acquisition as POMDP,agentic search framed as POMDP,kausik2026context
2608.01619,2026-08-03,When Memory Updates but Behavior Does Not,include,external memory,n/a,stale dependency repair,partial,4,staleness,implicit stale dependencies in personalised responses,sun2026memory
2608.25553,2026-08-26,When Stale Constraints Go Unchecked,include,inherited memory,n/a,budgeted verification,partial,4,staleness,verification budget vs stale constraints,nakayashiki2026stale
