arxiv_id,date,title_short,decision,who_maintains_belief,credited_object,revision_signal,belief_level_metrics,survey_section,role_in_survey,note,bibkey,first_author,title
2607.10814,2026-07-12,Auditing belief-conditioned Werewolf agents,include,external memory,belief state,logged per-turn belief updates,yes (action-belief consistency ~0.21; good-side win rate),3;4;7,auditable external belief state as evaluation object,"Tracks an explicit external belief state per agent in 9-player Werewolf with information isolation, logging every update for replay; active-belief condition raised good-side win rate from 0.205 to 0.390 over 1,080 games but action-belief consistency stayed ~0.21.",gao2026auditing,Yuan Gao,Auditing Belief-Conditioned LLM Agents in Hidden-Information Social Deduction Games
2607.16229,2026-06-24,FinBench calibration benchmark,include,n/a,output,none,partial (Brier and Winkler interval scores; no belief-state tracking),7;8,calibration benchmark for financial forecasting agents,"Time-gated benchmark requiring probability of positive return plus 80% prediction intervals, scored with proper scoring rules against baselines; pilot is one trading day, three assets, 33 forecasts.",ghosh2026finbench,Rishab Ghosh,FinBench: Time-Gated Calibration and Uncertainty Benchmarking for Agentic Financial Forecasting
2605.00425,2026-05-01,AEM adaptive entropy modulation,include,context (free-form trace),step/trajectory,response-level surprisal x advantage,no,5,entropy-based step credit without extra supervision,"Modulates entropy at the response (turn) level rather than token level, showing entropy drift is driven by the interaction of advantage sign and response surprisal; gains on ALFWorld, WebShop and SWE-bench-Verified for 1.5B-32B models.",zhao2026aem,Haotian Zhao,AEM: Adaptive Entropy Modulation for Multi-Turn Agentic Reinforcement Learning
2608.01667,2026-08-03,TCPO turn-level credit,include,context (free-form trace),action/turn,verifier score-to-credit conversion; high-surprisal counterfactual turns,no,5,score-to-credit conversion for verifier-guided multi-turn RL,"Builds turn advantages from retrospective credit vs best prior state, hindsight delayed credit for non-improving turns with later payoff, and fixed-history counterfactual estimation on high-surprisal turns; best or tied-best best-turn Pass@8 on Qwen3-4B and R1-Distill-Llama-8B including AppWorld.",liao2026tcpo,Sicong Liao,TCPO: Turn-Level Credit Policy Optimization
2603.08754,2026-03-07,HCAPO hindsight critic,include,context (free-form trace),step/trajectory,post-hoc LLM critic refinement,no,5,LLM-as-hindsight-critic step credit,"Uses the policy LLM itself as a post-hoc critic to refine step-level evaluations under sparse reward; +7.7% success on WebShop and +13.8% on ALFWorld over GRPO with Qwen2.5-7B-Instruct.",tan2026hindsight,Hui-Ze Tan,Hindsight Credit Assignment for Long-Horizon LLM Agents
2604.03098,2026-04-03,Self-Guide internal reward co-evolution,include,model-written,step/trajectory,self-generated guidance as internal reward,no,5,internal reward co-evolved with policy,"Self-Guide has the agent write guidance that serves both as inference-time steering and as step-level reward; joint GRPO optimisation of policy and internal reward gives ~8% over environment-reward-only training on three agent benchmarks.",wang2026coevolution,Xinyu Wang,Co-Evolution of Policy and Internal Reward for Language Agents
2606.15862,2026-06-14,RetailBench (June version),exclude(duplicate of 2603.16453; same benchmark and first author with retitled abstract),n/a,n/a,n/a,n/a,n/a,n/a,"Appears to be a re-posted or revised RetailBench paper (Linghua Zhang); screen 2603.16453 instead and cite whichever the authors designate as canonical.",zhang2026retailbench,Linghua Zhang,RetailBench: Benchmarking long horizon reasoning and coherent decision making of LLM agents in realistic retail environments
2603.16453,2026-03-17,RetailBench long-horizon retail POMDP,include,context (free-form trace),n/a,none,partial (behavioural analysis of evidence acquisition and policy consistency; no belief probing),6;7,long-horizon POMDP benchmark exposing evidence-acquisition failures,"Retail management cast as a partially observable decision process with thousand-day-scale simulation; seven LLMs over a 180-day horizon, only a subset survive, all well behind a privileged oracle, with failures attributed to incomplete evidence acquisition and inconsistent long-horizon policy.",zhang2026retailbench,Linghua Zhang,RetailBench: Evaluating Long-Horizon Autonomous Decision-Making and Strategy Stability of LLM Agents in Realistic Retail Environments
2605.15343,2026-05-14,Belief Engine stance dynamics,include,probabilistic memory,belief state,log-odds update with evidence uptake and prior anchoring,yes (reconstruction of human stance trajectories on DEBATE),3;4;7,explicit scalar belief with inspectable update rule,"Extracts arguments into structured memory and updates a scalar stance via a log-odds rule parameterised by evidence uptake and anchoring; reproduces participant stance shifts on the DEBATE dataset across several base LLMs and isolates cases where final stance diverges from evidence.",yang2026belief,Joshua C. Yang,Belief Engine: Configurable and Inspectable Stance Dynamics in Multi-Agent LLM Deliberation
2604.11041,2026-04-13,ReflectiChain world-model supply chain,include,learned world model,step/trajectory,latent trajectory rehearsal; reflection-on-action,no,3;5,generative world model for rehearsal plus test-time retrospective RL,"Couples a generative world model (latent trajectory rehearsal) with reflection-in-action and delayed reflection-on-action, plus retrospective agentic RL at deployment; on Semi-Sim reports 250% higher average step reward than strongest LLM baseline and Operability Ratio from 13.3% to over 88.5%.",luo2026topology,Jia Luo,From Topology to Trajectory: LLM-Driven World Models For Supply Chain Resilience
2605.28850,2026-05-16,Representation signatures in trading agents,include,context (free-form trace),output,structured risk feedback,partial (representation-drift early-warning signatures; no explicit belief state),4;7,representation-level drift diagnostics for finance agents,"On TradeArena, planning embeddings drift and plan-risk representations separate stable from deteriorating regimes before trading failures, consistent across eight LLM variants; risk feedback improves alignment without retraining, and agents rationalise correlated exposures rejected by risk systems.",xue2026representation,Weicheng Xue,Representation Signatures and Risk-Feedback Alignment in LLM Trading Agents
2609.01526,2026-09-01,EvoSCM causal belief revision,include,model-written,belief state,prediction-observation discrepancy distilled into correction rules,yes (explanation and prediction accuracy on DiscoverPhysics),3;4;6,explicit SCM population revised by experiments,"Maintains a population of competing structural causal models; each round abduces mechanisms, designs discriminative interventions, commits to falsifiable predictions, and distils discrepancies into correction rules that revise structure and mechanisms; improves discovery over baselines on DiscoverPhysics.",zhao2026evoscm,Qing Zhao,EvoSCM: Scientific Belief Revision Through Causal Model Evolution and Experimentation
2605.08778,2026-05-09,TRACE turn credit for jailbreaking,include,context (free-form trace),action/turn,leave-one-turn-out semantic masking,no,5,counterfactual turn-level credit (adversarial setting),"Estimates turn contributions in successful trajectories by leave-one-turn-out masking and penalises failed ones by harmfulness, relevance and refusal signals; ~25% relative ASR gain over strongest RL baseline and reused for defence alignment.",he2026turns,Zhida He,Not All Turns Matter: Credit Assignment for Multi-Turn Jailbreaking
2605.09287,2026-05-10,PiCA pivot-based credit,include,context (free-form trace),step/trajectory,pivot-step potential-based shaping,no,5;6,trajectory-dependent step reward for search agents,"Defines step rewards as history-conditioned success probabilities via potential-based reward shaping, identifying pivot steps (golden sub-queries and sub-answers) as information peaks; +15.2% (3B) and +2.2% (7B) across seven QA benchmarks.",liu2026pica,Dongyi Liu,PiCA: Pivot-Based Credit Assignment for Search Agentic Reinforcement Learning
2607.04963,2026-07-06,STAPO trajectory-neglect steps,include,context (free-form trace),step/trajectory,normalized-entropy outlier steps,no,5,entropy-located outlier steps with trajectory-aware reward,"Uses normalized entropy to locate outlier steps where the agent loses track of goal and history (trajectory neglect), then applies a trajectory-aware reward and trajectory-independent penalty; SOTA on ALFWorld, WebShop and search-augmented QA.",qi2026stapo,Qiuyi Qi,STAPO: Selective Trajectory-Aware Policy Optimization for LLM Agent Training
2608.05446,2026-08-05,EvoHarness-RL learned harness state,include,external memory,action/turn,learned read/update/consolidate policy over Belief-Progress-Experience state,partial (harness-call frequency and annealing dynamics; no belief accuracy),3;5;6,trainable policy over external belief/progress/experience workspace,"Exposes Belief, Progress and Experience as policy-facing external harness state; supervised harness fine-tuning then cost-aware GRPO learns when to read, update and consolidate; 96.9% ALFWorld success with Qwen3-8B, with harness annealing (fewer calls over training) and harness evolution.",ning2026evoharness,Xuying Ning,EvoHarness-RL: Learning Self-Evolving Runtime Harness for Long-Horizon LLM Agents
2605.14498,2026-05-14,GroupMemBench multi-party memory,include,external memory,n/a,none,partial (information-update accuracy 27.1%; speaker-grounded belief tracking questions),3;7,benchmark for per-speaker belief tracking in group memory,"Graph-generated multi-party dialogues with questioner-specific queries across six categories including information updates and abstention; best memory system reaches 46.0% average, 27.1% on information updates, and BM25 retrieval rivals most memory frameworks.",yang2026groupmembench,Jingbo Yang,GroupMemBench: Benchmarking LLM Agent Memory in Multi-Party Conversations
2606.28524,2026-06-26,Developmental ToM in transformers,exclude(pretraining-dynamics study of false-belief tasks in base LMs; not agent state maintenance or credit assignment),n/a,n/a,n/a,n/a,n/a,n/a,"Tracks false-belief and situation-model accuracy across Olmo2/Pythia checkpoints; could be cited in passing for fragility of internal belief attribution but off-scope for agents.",riviere2026developmental,Pamela D. Riviere,Developmental Trajectories of Situation Modeling and Mentalizing in Transformer Language Models
2601.16087,2026-01-22,External affective state dynamics,include,external memory,n/a,exponential smoothing or momentum update of VAD state,no,3,minimal example of explicit external state with dynamics injected into generation,"Keeps a continuous Valence-Arousal-Dominance state outside the LLM, updated by first- or second-order rules from a memoryless estimator and injected into prompts; over a 25-turn protocol stateless agents fail to recover while persisted state gives coherent trajectories with inertia/hysteresis trade-off.",subaharan2026controlling,Sukesh Subaharan,Controlling Long-Horizon Behavior in Language Model Agents with Explicit State Dynamics
2602.10743,2026-02-11,Kalman Linear Attention,exclude(architecture-level Bayesian-filter sequence mixer; no agent-level belief or credit assignment),n/a,n/a,n/a,n/a,n/a,n/a,"Information-form Kalman filter as an associative scan giving a parallel layer with explicit uncertainty; possible pointer for Section 8 on Bayesian primitives inside the model but not an agent paper.",shaj2026kalman,Vaisakh Shaj,Kalman Linear Attention: Parallel Bayesian Filtering For Efficient Language Modelling and State Tracking
2604.02733,2026-04-03,DeltaLogic minimal-edit revision,include,context (free-form trace),output,minimal premise edit,yes (revision accuracy vs initial accuracy),4;7,benchmark isolating belief revision from static reasoning,"Converts reasoning examples into revision episodes: initial conclusion, minimal premise edit, then judge whether the conclusion should stay or change; on Qwen and Phi models one model scores 66.7% initial but 46.7% revision accuracy, showing revision does not track static competence.",dhanda2026deltalogic,Amit Dhanda,DeltaLogic: Minimal Premise Edits Reveal Belief-Revision Failures in Logical Reasoning Models
